Census Tract,Total Population,California County,ZIP,City,"Drinking Water
Score","Drinking Water Score
Pctl",Arsenic,"Arsenic
Pctl",Cadmium,"Cadmium
Pctl",DBCP,"DBCP
Pctl",HexChrom,"HexChrom
Pctl",Lead,"Lead
Pctl",Nitrate,"Nitrate
Pctl",Perchlorate,"Perchlorate
Pctl",TCE,"TCE
Pctl",THM,"THM
Pctl",Uranium,"Uranium
Pctl","MCL
Violations","MCL
Violations
Pctl","TCR
Violations","TCR
Violations
Pctl"
6007001703,2852,Butte ,95954,Magalia,114.85,12.19,0,0,1.270,99.90,0,0,NA,NA,NA,NA,0.062,14.95,0,0,0,0,0,0,NA,NA,0,0,0,0
6007001800,5640,Butte ,95969,Paradise,265.69,35.96,0,0,0.038,97.88,0,0,NA,NA,NA,NA,0.631,27.64,0,0,0,0,22.115,42.92,NA,NA,0,0,0.908,97.25
6007001900,3373,Butte ,95969,Paradise,255.79,33.88,0,0,0.229,99.47,0,0,NA,NA,0,0,0.206,20.61,0,0,0,0,19.035,38.83,NA,NA,0,0,0.826,96.88
6007002000,5184,Butte ,95969,Paradise,142.58,13.48,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,23.711,43.86,NA,NA,0,0,1.000,98.73
6007002100,4599,Butte ,95969,Paradise,142.58,13.48,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,23.711,43.86,NA,NA,0,0,1.000,98.73
6007002601,2324,Butte ,95966,Oroville,37.29,4.49,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,18.001,37.29,NA,NA,0,0,0,0
6007003100,4396,Butte ,95966,Oroville,37.29,4.49,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,18.001,37.29,NA,NA,0,0,0,0
6007003200,4234,Butte ,95966,Oroville,160.20,14.78,0,0,0.027,97.48,NA,NA,NA,NA,0,0,0.614,27.47,0,0,0,0,17.455,35.25,NA,NA,0,0,0,0
6009000220,5515,Calaveras ,95252,Valley Springs,35.09,4.06,0.001,18.57,0,0,0,0,NA,NA,0,0,0.022,12.67,0,0,0,0,<0.001,3.86,NA,NA,0,0,0,0
6009000503,2330,Calaveras ,95223,Arnold,128.82,12.82,0,0,0,0,0,0,NA,NA,4.976,99.55,0,0,0,0,0,0,12.409,29.27,NA,NA,0,0,0,0
6009000504,942,Calaveras ,95223,Arnold,139.39,13.43,0,0,0,0,0,0,NA,NA,6.988,99.70,0.100,15.62,0,0,0,0,6.245,24.06,NA,NA,0,0,0,0
6015000101,3939,Del Norte,95531,Crescent City,25.62,3.56,0,0,0,0,0,0,NA,NA,0,0,0.419,25.62,0,0,0,0,0,0,NA,NA,0,0,0,0
6017030601,5044,El Dorado,95664,Pilot Hill,87.90,11.59,0,0,0,0,NA,NA,NA,NA,0,0,0.492,26.22,0,0,0,0,37.082,61.68,NA,NA,0,0,0,0
6017030706,6020,El Dorado,95762,El Dorado Hills,38.61,4.76,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,18.699,38.61,NA,NA,0,0,0,0
6017030709,4806,El Dorado,95672,Rescue,38.61,4.76,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,18.699,38.61,NA,NA,0,0,0,0
6017030710,4989,El Dorado,95762,El Dorado Hills,38.61,4.76,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,18.699,38.61,NA,NA,0,0,0,0
6017030807,3986,El Dorado,95682,Shingle Springs,38.61,4.76,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,18.699,38.61,NA,NA,0,0,0,0
6017030808,6897,El Dorado,95762,El Dorado Hills,38.61,4.76,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,18.699,38.61,NA,NA,0,0,0,0
6017030809,2447,El Dorado,95682,Shingle Springs,38.61,4.76,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,18.699,38.61,NA,NA,0,0,0,0
6017030810,3437,El Dorado,95682,Shingle Springs,38.61,4.76,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,18.699,38.61,NA,NA,0,0,0,0
6017031700,2648,El Dorado,95762,El Dorado Hills,38.61,4.76,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,18.699,38.61,NA,NA,0,0,0,0
6017031800,6798,El Dorado,95762,El Dorado Hills,38.61,4.76,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,18.699,38.61,NA,NA,0,0,0,0
6019005513,2952,Fresno ,93611,Clovis,373.57,54.09,0.598,43.82,0,0,0.033,93.51,0,0,1.025,97.10,16.699,90.23,0,0,0,0,27.311,48.91,NA,NA,0,0,0,0
6019005514,3961,Fresno ,93611,Clovis,373.57,54.09,0.598,43.82,0,0,0.033,93.51,0,0,1.025,97.10,16.699,90.23,0,0,0,0,27.311,48.91,NA,NA,0,0,0,0
6019005602,5467,Fresno ,93612,Clovis,373.57,54.09,0.598,43.82,0,0,0.033,93.51,0,0,1.025,97.10,16.699,90.23,0,0,0,0,27.311,48.91,NA,NA,0,0,0,0
6019005606,3847,Fresno ,93612,Clovis,373.57,54.09,0.598,43.82,0,0,0.033,93.51,0,0,1.025,97.10,16.699,90.23,0,0,0,0,27.311,48.91,NA,NA,0,0,0,0
6019005701,3697,Fresno ,93611,Clovis,373.57,54.09,0.598,43.82,0,0,0.033,93.51,0,0,1.025,97.10,16.699,90.23,0,0,0,0,27.311,48.91,NA,NA,0,0,0,0
6019005702,5243,Fresno ,93611,Clovis,373.57,54.09,0.598,43.82,0,0,0.033,93.51,0,0,1.025,97.10,16.699,90.23,0,0,0,0,27.311,48.91,NA,NA,0,0,0,0
6019005703,5176,Fresno ,93611,Clovis,373.57,54.09,0.598,43.82,0,0,0.033,93.51,0,0,1.025,97.10,16.699,90.23,0,0,0,0,27.311,48.91,NA,NA,0,0,0,0
6019005704,5542,Fresno ,93612,Clovis,373.57,54.09,0.598,43.82,0,0,0.033,93.51,0,0,1.025,97.10,16.699,90.23,0,0,0,0,27.311,48.91,NA,NA,0,0,0,0
6019005801,4856,Fresno ,93727,Fresno,373.57,54.09,0.598,43.82,0,0,0.033,93.51,0,0,1.025,97.10,16.699,90.23,0,0,0,0,27.311,48.91,NA,NA,0,0,0,0
6019007901,5652,Fresno ,93210,Coalinga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6023000100,4901,Humboldt ,95501,Eureka,24.38,3.53,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,6.725,24.38,NA,NA,0,0,0,0
6023000200,6211,Humboldt ,95501,Eureka,24.36,3.51,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,6.725,24.36,NA,NA,0,0,0,0
6023000300,5544,Humboldt ,95503,Eureka,65.27,9.84,0.124,26.32,0,0,0,0,NA,NA,0,0,0.058,14.86,0,0,0,0,6.272,24.09,NA,NA,0,0,0,0
6023000400,3873,Humboldt ,95503,Eureka,68.33,10.02,0.191,29.05,0,0,NA,NA,NA,NA,0,0,0.090,15.31,0,0,0,0,6.025,23.97,NA,NA,0,0,0,0
6023000500,4263,Humboldt ,95501,Eureka,50.73,7.50,0.001,18.48,0,0,0,0,NA,NA,0,0,0.001,7.92,0,0,0,0,6.721,24.32,NA,NA,0,0,0,0
6023000600,4866,Humboldt ,95501,Eureka,24.36,3.51,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,6.725,24.36,NA,NA,0,0,0,0
6023000700,5360,Humboldt ,95503,Eureka,76.30,10.53,0.417,36.12,0,0,0,0,NA,NA,0,0,0.196,17.16,0,0,0,0,5.205,23.03,NA,NA,0,0,0,0
